Filename;Input size (bytes);ZMH size (bytes);ZIP size;7z size;RAR size;TAR size
empty_file.txt;0;4;178;106;72;1536
one_byte_file.txt;1;10;185;143;76;2048
equal_bytes.txt;44000;5509;241;216;110;45568
mom_frame.txt;26;43;200;160;97;2048
WarAndPeace.txt;1267920;672654;357466;265711;297584;1269760
file_without_extension;148;77;210;180;111;2048
msu_small.jpeg;9659;10431;9690;9657;9692;11264
msu_big.jpeg;1023245;1023093;1008911;1011313;1010414;1025024
music_examle.mp3;3755407;3698357;3575468;3586433;3581309;3757056
bon_jovi_its_my_life.mp3;8987211;8950991;8914829;8945927;8987211;8989184
video_short.mp4;4072587;4070770;4043617;4044041;4072587;4074496
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Filename;ZMH time;ZIP time;7z time;RAR time;TAR time;
empty_file.txt;0.013;0,008;0,022;0,026;0,017;
one_byte_file.txt;0.0073 ;0,009;0,025;0,027;0,009;
equal_bytes.txt;0.0217;0,008;0,025;0,011;0,009;
mom_frame.txt;0.0086;0,008;0,025;0,027;0,009;
WarAndPeace.txt;0.2820;0,129;0,302;0,075;0,013;
file_without_extension;0.0090;0,011;0,022;0,026;0,010;
msu_small.jpeg;0.0130;0,008;0,021;0,027;0,009;
msu_big.jpeg;0.2710;0,049;0,139;0,060;0,012;
music_examle.mp3;0.9709;0,142;0,424;0,150;0,019;
bon_jovi_its_my_life.mp3; 2.3399 ;0,310;1,061;0,362;0,029;
video_short.mp4;1.0675;0,128;0,487;0,169;0,019;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Filename;ZMH time;ZIP time;7z time;RAR time;TAR time;
empty_file.txt;0.0005;0,007;0,029;0,008;0,008;
one_byte_file.txt;0.0006;0,008;0,022;0,008;0,011;
equal_bytes.txt;0.0051;0,007;0,023;0,011;0,008;
mom_frame.txt;0.0012;0,007;0,023;0,008;0,009;
WarAndPeace.txt;0.2849;0,016;0,040;0,018;0,011;
file_without_extension;0.0003;0,007;0,023;0,012;0,008;
msu_small.jpeg;0.0042;0,009;0,022;0,012;0,007;
msu_big.jpeg;0.3516;0,017;0,058;0,017;0,010;
music_examle.mp3;1.3227;0,038;0,170;0,033;0,014;
bon_jovi_its_my_life.mp3;3.1839;0,073;0,175;0,062;0,019;
video_short.mp4;1.4281 ;0,038;0,054;0,031; 0,013;
;;;;;;
